COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
5003,2.30%,10.30%,16.30%,11.70%,59.50%
5005,15.00%,10.40%,10.80%,10.40%,53.40%
5007,8.10%,3.40%,8.30%,16.00%,64.30%
5009,12.90%,14.50%,12.20%,18.90%,41.60%
5011,9.40%,10.20%,17.50%,18.40%,44.50%
5013,14.50%,13.20%,10.80%,21.10%,40.40%
5015,11.10%,6.80%,11.50%,12.90%,57.70%
5017,10.40%,7.40%,19.30%,9.70%,53.10%
5019,8.00%,9.10%,8.00%,23.10%,51.80%
5021,8.20%,12.40%,15.70%,24.20%,39.50%
5023,3.60%,6.50%,9.30%,25.90%,54.60%
5025,10.70%,3.00%,16.00%,23.10%,47.20%
5027,24.10%,7.20%,5.40%,25.00%,38.30%
5029,7.10%,12.00%,13.70%,34.70%,32.50%
5031,7.80%,12.30%,13.80%,34.10%,32.00%
5033,15.50%,10.00%,16.70%,21.10%,36.70%
5035,5.90%,1.70%,11.00%,30.60%,50.80%
5037,9.70%,1.70%,16.30%,31.90%,40.40%
5039,19.70%,5.50%,9.30%,19.60%,45.90%
5041,7.80%,3.30%,19.00%,18.90%,50.90%
5043,6.30%,4.90%,20.70%,15.90%,52.30%
5045,6.60%,2.70%,7.70%,40.30%,42.60%
5047,14.90%,7.90%,24.50%,18.70%,34.00%
5049,10.50%,12.10%,22.60%,19.70%,35.10%
5051,2.50%,10.20%,6.80%,21.00%,59.60%
5053,8.20%,4.30%,12.70%,25.80%,48.90%
5055,6.20%,14.10%,15.40%,34.60%,29.70%
5057,9.80%,7.30%,9.60%,17.90%,55.40%
5059,5.90%,8.60%,7.90%,21.60%,56.00%
5061,8.10%,7.00%,14.50%,14.50%,56.00%
5063,13.70%,15.60%,8.80%,17.90%,44.00%
5065,8.60%,12.10%,13.30%,23.00%,43.00%
5067,11.60%,10.30%,13.50%,17.90%,46.80%
5069,4.20%,3.60%,17.20%,17.30%,57.70%
5071,14.40%,10.30%,20.50%,22.10%,32.80%
5073,12.00%,8.20%,7.80%,23.40%,48.60%
5075,8.50%,12.80%,15.30%,29.80%,33.70%
5077,10.30%,3.20%,19.50%,26.30%,40.70%
5079,3.50%,1.60%,19.40%,20.10%,55.40%
5081,7.40%,12.10%,10.60%,20.10%,49.90%
5083,14.80%,11.00%,12.00%,14.30%,47.90%
5085,4.80%,4.50%,13.60%,29.70%,47.40%
5087,7.50%,8.80%,15.90%,11.40%,56.40%
5089,17.10%,11.20%,11.90%,10.80%,49.00%
5091,6.40%,12.40%,10.60%,21.90%,48.70%
5093,3.30%,10.90%,13.40%,28.40%,44.00%
5095,6.80%,12.80%,12.70%,27.10%,40.60%
5097,8.10%,9.50%,13.60%,16.60%,52.10%
5099,14.30%,4.80%,8.40%,22.40%,50.10%
5101,10.70%,14.00%,8.40%,26.10%,40.80%
5103,15.10%,9.70%,6.00%,24.20%,44.90%
5105,9.80%,5.10%,8.00%,36.70%,40.40%
5107,5.20%,6.10%,13.40%,27.60%,47.70%
5109,6.40%,6.10%,20.00%,17.60%,50.10%
5111,7.70%,9.80%,14.10%,28.70%,39.70%
5113,18.00%,8.00%,21.70%,7.60%,44.60%
5115,8.20%,15.10%,18.10%,28.50%,30.20%
5117,6.20%,17.00%,10.30%,27.30%,39.10%
5119,2.80%,2.70%,12.60%,17.50%,64.40%
5121,5.10%,14.50%,20.30%,28.90%,31.10%
5123,8.70%,0.70%,28.90%,26.70%,35.00%
5125,6.60%,4.40%,15.40%,21.20%,52.40%
5127,15.50%,14.00%,12.40%,12.30%,45.80%
5129,10.00%,8.80%,12.50%,14.90%,53.80%
5131,12.10%,14.20%,15.70%,20.80%,37.20%
5133,12.00%,9.30%,15.50%,16.50%,46.70%
5135,6.70%,15.80%,22.00%,22.20%,33.30%
5137,6.70%,9.20%,11.00%,23.40%,49.80%
5139,11.60%,17.90%,9.80%,26.20%,34.40%
5141,3.30%,6.00%,9.60%,27.20%,53.90%
5143,3.40%,2.80%,10.10%,18.60%,65.10%
5145,2.60%,5.40%,15.20%,27.70%,49.10%
5147,5.90%,4.80%,20.80%,23.10%,45.40%
5149,11.60%,10.00%,11.20%,19.80%,47.40%
6001,1.90%,0.80%,5.50%,12.30%,79.50%
6003,2.50%,8.50%,8.80%,19.00%,61.20%
6005,4.50%,1.30%,9.90%,18.80%,65.50%
6007,1.50%,4.30%,11.10%,20.40%,62.60%
6009,4.50%,1.90%,9.80%,27.60%,56.20%
6011,2.70%,3.10%,9.20%,15.10%,70.00%
6013,1.80%,1.60%,3.90%,12.10%,80.60%
6015,1.00%,13.50%,11.20%,19.60%,54.70%
6017,2.80%,4.20%,7.20%,18.30%,67.50%
6019,2.10%,2.20%,5.90%,15.60%,74.10%
6021,2.80%,2.60%,14.60%,20.60%,59.40%
6023,4.20%,0.60%,1.80%,6.90%,86.50%
6025,0.10%,0.50%,3.00%,12.80%,83.60%
6027,3.30%,1.10%,0.80%,5.80%,88.90%
6029,2.20%,2.80%,10.50%,17.70%,66.80%
6031,7.50%,1.60%,4.90%,9.40%,76.60%
6033,0.30%,0.40%,0.70%,13.60%,84.90%
6035,6.40%,6.80%,16.20%,22.50%,48.20%
6037,2.10%,1.30%,4.90%,13.10%,78.60%
6039,1.90%,5.90%,4.80%,12.40%,75.10%
6041,1.10%,0.00%,4.60%,14.10%,80.20%
6043,1.00%,9.40%,4.90%,18.60%,66.10%
6045,0.20%,0.30%,0.40%,22.20%,77.00%
6047,2.60%,3.60%,8.90%,14.60%,70.30%
6049,6.80%,1.90%,9.50%,20.40%,61.50%
6051,1.10%,2.60%,1.20%,7.00%,88.00%
6053,2.30%,0.60%,6.60%,14.10%,76.30%
6055,1.70%,2.60%,3.30%,14.90%,77.30%
6057,0.30%,5.40%,8.40%,17.70%,68.20%
6059,2.30%,2.10%,4.60%,15.60%,75.40%
6061,1.20%,2.30%,7.20%,20.10%,69.30%
6063,6.30%,6.70%,5.30%,14.60%,67.10%
6065,2.60%,1.40%,4.10%,11.60%,80.30%
6067,2.50%,2.80%,6.20%,16.40%,72.20%
6069,1.80%,0.40%,6.30%,17.50%,73.90%
6071,2.70%,2.20%,4.80%,13.40%,76.80%
6073,1.70%,2.30%,3.40%,12.60%,80.00%
6075,1.70%,1.10%,3.50%,12.10%,81.70%
6077,5.40%,1.90%,8.10%,16.50%,68.00%
6079,2.50%,2.40%,3.70%,16.90%,74.50%
6081,1.60%,1.30%,5.80%,12.60%,78.60%
6083,1.50%,2.00%,7.50%,15.30%,73.70%
6085,1.50%,1.40%,4.00%,16.80%,76.40%
6087,0.80%,0.00%,8.60%,10.90%,79.70%
6089,9.50%,5.60%,7.10%,23.20%,54.70%
6091,14.00%,5.30%,4.70%,14.30%,61.70%
6093,13.20%,7.40%,8.20%,16.70%,54.60%
6095,4.30%,4.60%,3.50%,14.80%,72.80%
6097,2.20%,1.20%,2.20%,14.90%,79.50%
6099,3.20%,2.80%,6.20%,17.30%,70.50%
6101,5.80%,3.10%,8.00%,16.30%,66.90%
6103,5.70%,6.20%,14.10%,19.50%,54.50%
6105,8.10%,7.00%,5.50%,20.10%,59.20%
6107,2.50%,3.90%,11.50%,13.60%,68.50%
6109,0.80%,4.30%,8.40%,21.20%,65.30%
6111,2.40%,1.10%,3.30%,15.60%,77.70%
6113,0.70%,0.50%,4.00%,15.60%,79.10%
6115,5.70%,3.50%,7.10%,16.70%,66.90%
8001,3.20%,2.70%,7.10%,18.50%,68.50%
8003,5.20%,13.30%,9.40%,22.80%,49.30%
8005,1.30%,2.60%,6.50%,19.30%,70.30%
