COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
13217,9.40%,7.60%,12.30%,20.70%,50.00%
13219,4.90%,6.30%,9.50%,18.10%,61.10%
13221,5.60%,8.20%,5.40%,18.10%,62.70%
13223,9.70%,6.80%,10.80%,23.30%,49.40%
13225,2.70%,7.40%,17.20%,16.00%,56.70%
13227,3.80%,11.80%,10.10%,18.80%,55.50%
13229,5.00%,14.30%,12.70%,15.70%,52.20%
13231,5.90%,6.00%,14.70%,19.20%,54.20%
13233,10.60%,7.10%,19.20%,14.50%,48.50%
13235,7.90%,3.10%,9.80%,21.80%,57.50%
13237,5.90%,9.30%,11.80%,21.40%,51.60%
13239,5.30%,15.00%,9.50%,16.30%,53.80%
13241,10.00%,8.30%,12.40%,22.90%,46.40%
13243,1.60%,6.50%,5.00%,20.00%,66.90%
13245,6.80%,5.90%,11.40%,18.00%,57.80%
13247,5.80%,7.80%,11.50%,21.60%,53.40%
13249,7.00%,10.20%,11.70%,21.40%,49.70%
13251,19.80%,6.90%,8.10%,24.20%,41.00%
13253,7.30%,7.90%,20.20%,13.50%,51.00%
13255,7.20%,3.80%,17.90%,20.20%,50.90%
13257,8.70%,11.60%,11.60%,31.00%,37.00%
13259,5.50%,9.20%,13.30%,20.30%,51.70%
13261,5.50%,5.60%,4.60%,20.20%,64.10%
13263,16.80%,8.00%,8.90%,17.10%,49.20%
13265,6.50%,4.80%,8.60%,15.80%,64.40%
13267,5.10%,7.60%,21.40%,22.40%,43.40%
13269,12.60%,6.90%,18.20%,20.10%,42.20%
13271,15.60%,7.50%,13.40%,20.80%,42.70%
13273,1.90%,2.90%,3.00%,16.70%,75.50%
13275,2.60%,9.60%,12.00%,22.80%,53.00%
13277,6.60%,8.80%,12.20%,22.70%,49.60%
13279,9.70%,6.90%,17.90%,22.60%,42.90%
13281,7.60%,9.60%,9.80%,19.90%,53.10%
13283,9.60%,7.00%,16.80%,26.70%,39.90%
13285,17.50%,3.10%,11.90%,17.80%,49.70%
13287,14.10%,4.20%,9.40%,17.50%,54.70%
13289,4.00%,7.70%,18.80%,14.80%,54.70%
13291,6.50%,11.90%,8.70%,16.80%,56.00%
13293,16.00%,10.00%,11.40%,20.60%,42.10%
13295,14.40%,16.40%,11.70%,21.00%,36.60%
13297,10.60%,12.70%,18.40%,14.10%,44.20%
13299,6.10%,10.80%,10.90%,16.60%,55.60%
13301,9.50%,6.50%,14.00%,22.60%,47.40%
13303,10.40%,7.00%,5.30%,15.70%,61.70%
13305,2.90%,13.90%,14.30%,13.90%,55.00%
13307,1.90%,6.40%,10.30%,21.00%,60.30%
13309,13.50%,7.80%,16.20%,23.00%,39.50%
13311,5.70%,6.40%,9.90%,34.70%,43.30%
13313,18.50%,6.80%,20.30%,14.20%,40.30%
13315,17.30%,1.70%,8.30%,15.70%,56.90%
13317,8.00%,8.60%,11.40%,17.20%,54.80%
13319,3.90%,6.20%,14.10%,22.40%,53.40%
13321,6.90%,5.60%,8.30%,18.70%,60.50%
15001,1.00%,3.20%,3.70%,12.20%,79.90%
15003,1.10%,1.20%,2.70%,15.10%,79.80%
15005,2.60%,1.30%,3.20%,8.00%,85.00%
15007,0.00%,2.10%,4.60%,10.80%,82.50%
15009,3.40%,1.60%,2.50%,12.20%,80.30%
16001,11.80%,7.80%,8.40%,19.40%,52.60%
16003,9.40%,21.60%,21.80%,21.80%,25.40%
16005,8.40%,19.30%,17.60%,19.50%,35.20%
16007,15.10%,12.00%,10.20%,24.30%,38.50%
16009,3.80%,5.90%,15.00%,15.20%,60.10%
16011,9.50%,19.70%,17.50%,22.90%,30.40%
16013,15.50%,10.70%,10.20%,13.00%,50.60%
16015,5.70%,3.80%,3.80%,54.90%,31.80%
16017,8.80%,11.60%,11.90%,24.10%,43.60%
16019,9.60%,20.20%,18.80%,24.70%,26.80%
16021,4.50%,17.10%,6.10%,18.50%,53.70%
16023,10.70%,21.30%,15.90%,22.20%,29.80%
16025,18.60%,3.00%,4.70%,9.80%,63.90%
16027,11.30%,9.50%,17.00%,24.00%,38.10%
16029,10.00%,18.10%,19.10%,20.20%,32.60%
16031,13.40%,22.30%,10.20%,14.90%,39.20%
16033,11.90%,22.80%,19.60%,23.90%,21.80%
16035,3.70%,11.20%,12.70%,25.00%,47.50%
16037,6.90%,2.90%,19.90%,24.40%,45.80%
16039,20.60%,4.40%,3.80%,17.30%,53.90%
16041,13.10%,11.80%,8.50%,25.60%,41.00%
16043,11.10%,20.60%,20.20%,24.70%,23.30%
16045,11.90%,13.60%,11.10%,19.80%,43.60%
16047,21.10%,20.20%,8.90%,15.30%,34.50%
16049,4.50%,9.40%,16.40%,27.50%,42.30%
16051,9.90%,20.80%,19.20%,24.90%,25.20%
16053,17.50%,21.90%,9.60%,16.70%,34.30%
16055,14.60%,10.50%,17.00%,22.00%,35.90%
16057,0.20%,1.20%,6.60%,32.80%,59.20%
16059,10.90%,17.30%,23.10%,12.50%,36.20%
16061,2.70%,7.30%,15.70%,28.50%,45.90%
16063,18.00%,20.00%,10.50%,13.50%,37.90%
16065,10.10%,20.70%,19.60%,25.00%,24.50%
16067,13.40%,21.90%,10.60%,15.20%,39.00%
16069,0.90%,3.00%,11.70%,32.60%,51.70%
16071,8.30%,17.30%,15.30%,18.50%,40.60%
16073,12.30%,13.70%,14.60%,17.10%,42.30%
16075,8.10%,19.90%,17.40%,24.20%,30.40%
16077,7.80%,20.50%,15.20%,18.50%,38.10%
16079,6.80%,14.40%,29.90%,14.70%,34.20%
16081,9.90%,18.90%,19.00%,25.00%,27.20%
16083,16.60%,22.20%,10.10%,17.70%,33.50%
16085,4.10%,11.80%,10.20%,37.80%,36.10%
16087,13.60%,13.00%,32.40%,17.20%,23.90%
17001,18.00%,9.20%,18.90%,19.00%,35.00%
17003,11.00%,8.20%,14.80%,26.20%,39.80%
17005,7.00%,5.50%,10.80%,21.80%,54.90%
17007,2.50%,0.60%,6.50%,24.40%,66.00%
17009,18.00%,9.90%,13.60%,20.00%,38.50%
17011,1.20%,1.90%,15.60%,20.80%,60.50%
17013,8.20%,6.00%,21.90%,36.60%,27.30%
17015,3.00%,6.40%,12.00%,19.00%,59.60%
17017,10.30%,8.00%,19.00%,18.70%,44.10%
17019,0.00%,6.70%,8.00%,19.20%,66.10%
17021,5.90%,5.70%,9.10%,19.00%,60.30%
17023,12.70%,8.90%,10.70%,22.60%,45.10%
17025,6.20%,11.50%,14.50%,30.60%,37.20%
17027,10.20%,6.30%,8.30%,16.60%,58.70%
17029,11.20%,5.50%,20.10%,22.10%,41.10%
17031,2.30%,2.10%,7.20%,16.20%,72.20%
17033,14.60%,19.60%,4.70%,21.90%,39.20%
17035,9.50%,7.50%,19.40%,21.20%,42.40%
17037,0.70%,1.20%,3.40%,19.10%,75.60%
17039,3.50%,10.60%,7.30%,28.00%,50.70%
17041,4.80%,6.10%,10.50%,19.10%,59.40%
17043,1.00%,1.00%,5.60%,16.30%,76.00%
17045,17.40%,9.00%,13.10%,20.80%,39.80%
17047,8.60%,14.80%,23.30%,30.60%,22.80%
17049,7.20%,7.20%,21.40%,23.20%,41.00%
17051,6.90%,7.60%,15.60%,22.90%,47.00%
17053,1.10%,8.20%,16.70%,17.20%,56.70%
17055,9.90%,16.60%,11.90%,21.10%,40.50%
17057,1.60%,3.00%,31.10%,19.90%,44.40%
17059,20.10%,6.00%,12.80%,23.80%,37.30%
17061,13.60%,2.90%,10.90%,21.70%,50.80%
17063,5.60%,5.60%,10.50%,18.30%,59.90%
17065,13.80%,17.90%,10.00%,21.00%,37.30%
17067,14.70%,15.40%,12.50%,16.30%,41.10%
17069,16.30%,7.20%,23.50%,19.10%,34.00%
17071,9.60%,4.40%,10.10%,15.50%,60.40%
17073,6.70%,7.20%,6.10%,20.30%,59.70%
17075,9.70%,16.80%,6.90%,24.20%,42.40%
17077,6.60%,7.80%,15.10%,20.90%,49.60%
17079,9.90%,13.50%,13.10%,25.40%,38.00%
17081,12.20%,12.60%,8.00%,27.90%,39.30%
17083,7.40%,7.90%,12.40%,18.50%,53.70%
17085,3.40%,10.40%,22.00%,17.80%,46.50%
17087,12.40%,5.00%,18.90%,14.10%,49.60%
17089,1.30%,2.60%,4.80%,16.50%,74.80%
17091,4.40%,8.40%,9.60%,24.90%,52.70%
17093,0.10%,0.90%,6.50%,13.60%,78.80%
17095,3.50%,3.10%,19.40%,24.60%,49.40%
17097,2.00%,1.80%,4.60%,14.60%,76.90%
17099,1.80%,4.60%,11.30%,26.70%,55.60%
17101,19.70%,15.70%,10.50%,28.10%,26.00%
17103,1.30%,5.40%,5.80%,22.40%,65.00%
17105,3.00%,14.70%,8.00%,23.40%,51.00%
17107,4.60%,4.50%,23.00%,12.80%,55.10%
17109,4.10%,9.10%,9.70%,18.20%,59.00%
17111,3.00%,1.20%,6.60%,17.60%,71.60%
17113,8.50%,6.20%,9.10%,20.10%,56.10%
17115,1.60%,6.20%,8.80%,28.60%,54.90%
17117,1.50%,5.00%,14.70%,22.70%,56.10%
17119,3.50%,4.50%,8.30%,18.90%,64.80%
17121,10.00%,9.30%,10.10%,30.20%,40.40%
17123,4.80%,8.30%,13.30%,19.80%,53.80%
17125,23.80%,3.10%,29.20%,12.60%,31.30%
17127,9.70%,4.30%,23.20%,25.60%,37.30%
17129,10.20%,4.70%,13.80%,17.20%,54.00%
17131,3.90%,6.60%,11.00%,21.50%,57.10%
17133,0.30%,4.00%,11.20%,17.40%,67.00%
17135,1.80%,5.00%,9.10%,31.60%,52.50%
17137,5.00%,6.20%,17.70%,17.80%,53.30%
17139,8.10%,7.30%,21.30%,24.30%,39.00%
17141,5.30%,4.50%,12.90%,18.40%,58.90%
17143,3.90%,3.60%,9.60%,25.10%,57.70%
17145,5.50%,9.20%,10.40%,35.80%,39.20%
17147,0.30%,5.20%,6.00%,19.80%,68.80%
17149,13.80%,7.90%,21.80%,20.50%,36.00%
17151,10.40%,5.40%,21.30%,21.40%,41.50%
17153,11.70%,6.40%,18.90%,22.50%,40.50%
17155,2.10%,2.50%,16.80%,25.10%,53.50%
17157,0.80%,3.20%,11.70%,39.10%,45.20%
17159,11.10%,15.10%,10.70%,30.00%,33.10%
17161,7.80%,2.50%,6.60%,23.50%,59.60%
17163,3.20%,2.70%,3.70%,13.80%,76.70%
17165,11.70%,10.60%,11.10%,20.40%,46.20%
17167,1.70%,3.00%,15.50%,23.30%,56.40%
17169,13.20%,10.00%,15.20%,19.80%,41.70%
17171,11.30%,5.70%,14.80%,16.20%,52.00%
17173,7.00%,4.70%,16.80%,24.50%,46.90%
17175,1.30%,10.10%,5.80%,15.50%,67.20%
17177,3.60%,5.90%,4.10%,22.20%,64.40%
17179,4.40%,4.00%,14.10%,21.50%,56.00%
17181,10.00%,7.80%,16.20%,19.50%,46.60%
17183,2.30%,11.90%,8.80%,26.60%,50.40%
17185,7.80%,11.30%,27.10%,32.50%,21.20%
17187,4.20%,2.00%,14.10%,27.60%,52.20%
17189,11.80%,4.60%,5.30%,32.70%,45.60%
17191,8.60%,14.20%,12.80%,30.00%,34.50%
17193,19.00%,14.40%,9.50%,23.90%,33.20%
17195,2.50%,6.60%,4.20%,21.80%,64.90%
17197,4.10%,2.40%,6.20%,13.40%,73.90%
17199,9.50%,12.20%,13.60%,18.30%,46.40%
17201,3.10%,3.00%,8.90%,19.30%,65.70%
17203,6.20%,6.70%,11.20%,24.20%,51.70%
18001,13.60%,4.70%,16.00%,34.80%,30.90%
18003,7.00%,14.00%,9.90%,22.80%,46.40%
18005,13.80%,8.40%,8.50%,28.60%,40.60%
18007,8.20%,12.60%,11.20%,18.30%,49.60%
18009,9.30%,15.20%,10.60%,20.30%,44.70%
18011,5.20%,8.50%,14.20%,30.80%,41.30%
18013,5.50%,6.10%,4.10%,18.40%,66.00%
18015,5.90%,10.40%,17.00%,22.00%,44.70%
18017,3.70%,19.20%,28.30%,20.60%,28.30%
18019,6.80%,6.00%,14.10%,22.80%,50.10%
18021,12.20%,7.30%,11.20%,22.60%,46.60%
18023,8.80%,3.30%,13.20%,28.50%,46.20%
18025,6.70%,8.90%,11.80%,26.10%,46.50%
18027,4.90%,6.10%,13.00%,21.40%,54.60%
18029,8.30%,10.00%,16.80%,27.70%,37.10%
18031,17.50%,8.30%,10.10%,20.40%,43.70%
18033,10.90%,7.40%,11.80%,14.90%,55.00%
18035,9.50%,10.90%,12.40%,19.70%,47.50%
18037,1.00%,10.50%,8.60%,25.00%,55.00%
18039,3.00%,9.70%,9.40%,25.20%,52.80%
18041,16.10%,4.10%,4.80%,23.70%,51.40%
18043,5.30%,8.60%,15.40%,23.30%,47.40%
18045,7.70%,8.90%,14.70%,21.20%,47.40%
18047,7.00%,8.20%,10.40%,19.90%,54.50%
18049,14.20%,11.40%,12.80%,21.70%,39.90%
18051,9.00%,10.00%,20.40%,25.50%,35.10%
18053,5.30%,10.80%,13.30%,31.10%,39.30%
18055,9.90%,2.70%,8.10%,23.50%,55.80%
18057,7.00%,5.10%,4.90%,23.40%,59.60%
18059,6.80%,4.00%,16.60%,30.60%,42.00%
18061,9.40%,8.40%,20.50%,25.80%,35.90%
18063,5.40%,5.20%,11.30%,25.70%,52.30%
18065,18.30%,14.80%,12.50%,11.10%,43.40%
18067,0.80%,8.30%,18.30%,30.10%,42.60%
18069,15.00%,18.20%,5.30%,19.90%,41.60%
18071,9.70%,9.80%,10.50%,38.80%,31.20%
18073,18.60%,10.00%,6.50%,32.80%,32.10%
18075,14.10%,13.90%,15.70%,23.50%,32.80%
18077,8.30%,21.90%,21.80%,22.50%,25.50%
18079,9.50%,10.50%,17.20%,30.80%,31.90%
18081,5.70%,9.40%,10.00%,19.20%,55.70%
18083,15.80%,12.50%,12.10%,25.90%,33.80%
18085,7.30%,14.70%,8.90%,19.50%,49.60%
18087,5.90%,8.20%,17.10%,23.60%,45.20%
18089,4.30%,5.70%,8.80%,21.90%,59.20%
18091,8.40%,7.50%,16.80%,20.60%,46.60%
18093,9.20%,11.70%,10.90%,19.10%,49.10%
18095,6.20%,8.40%,15.00%,14.50%,55.90%
18097,5.10%,5.30%,11.60%,23.20%,54.80%
18099,12.00%,10.30%,15.90%,22.90%,38.90%
18101,4.10%,6.40%,12.30%,22.30%,55.00%
18103,5.40%,12.50%,25.30%,22.60%,34.30%
18105,3.70%,3.70%,9.40%,24.20%,59.10%
18107,7.00%,11.60%,16.80%,15.60%,49.00%
18109,6.00%,13.10%,13.60%,18.80%,48.50%
18111,10.20%,15.30%,9.20%,33.80%,31.60%
18113,5.70%,11.00%,13.50%,19.70%,50.00%
18115,6.00%,7.80%,18.00%,22.30%,45.90%
18117,9.60%,8.60%,7.30%,31.50%,43.00%
18119,9.40%,3.80%,8.70%,28.20%,50.00%
18121,11.60%,11.10%,17.40%,19.50%,40.50%
18123,1.00%,10.90%,8.70%,25.20%,54.20%
18125,5.20%,8.90%,16.30%,20.00%,49.50%
18127,5.00%,10.00%,10.80%,23.10%,51.20%
18129,13.20%,5.60%,11.50%,22.60%,47.20%
18131,13.50%,21.90%,17.10%,25.30%,22.30%
18133,7.50%,16.20%,20.40%,19.40%,36.60%
18135,12.80%,13.00%,22.80%,17.90%,33.60%
18137,5.40%,7.40%,15.00%,29.40%,42.90%
18139,13.30%,11.80%,6.30%,27.90%,40.80%
18141,3.10%,4.00%,10.20%,22.80%,59.80%
18143,3.60%,7.30%,16.80%,26.30%,46.00%
18145,16.00%,5.70%,17.70%,19.30%,41.30%
18147,1.70%,13.40%,10.40%,21.60%,52.90%
18149,17.70%,15.10%,8.80%,21.90%,36.50%
18151,4.00%,8.90%,17.00%,16.90%,53.20%
18153,12.70%,7.10%,7.70%,20.70%,51.70%
18155,8.90%,12.50%,20.90%,23.40%,34.40%
18157,9.30%,8.30%,10.20%,20.40%,51.80%
18159,3.30%,8.20%,8.90%,44.40%,35.20%
18161,9.50%,5.30%,10.60%,17.80%,56.90%
18163,7.00%,3.90%,11.50%,23.40%,54.20%
18165,11.30%,10.50%,13.40%,22.30%,42.60%
18167,11.80%,6.40%,10.20%,25.00%,46.60%
18169,7.00%,11.00%,23.70%,20.20%,38.10%
18171,7.90%,11.50%,9.20%,22.30%,49.20%
18173,4.50%,3.80%,11.70%,25.20%,54.80%
18175,9.70%,7.40%,6.20%,35.60%,41.10%
18177,16.20%,9.00%,13.80%,26.10%,34.80%
18179,20.50%,5.00%,7.70%,33.70%,33.20%
18181,5.60%,17.70%,19.40%,18.90%,38.40%
18183,6.10%,18.60%,13.20%,16.00%,46.00%
19001,7.30%,12.80%,12.80%,30.70%,36.40%
19003,14.80%,11.00%,15.00%,31.10%,28.10%
19005,13.80%,4.90%,13.20%,21.20%,46.90%
19007,4.40%,11.00%,23.90%,19.30%,41.30%
19009,22.40%,7.30%,19.40%,18.70%,32.20%
19011,9.80%,6.70%,13.00%,20.00%,50.40%
19013,3.20%,5.30%,18.00%,28.90%,44.70%
19015,9.00%,8.00%,10.00%,19.70%,53.30%
19017,4.80%,6.20%,19.70%,26.80%,42.40%
19019,2.10%,12.40%,8.70%,39.40%,37.30%
19021,18.30%,6.20%,26.00%,20.70%,28.80%
19023,5.20%,9.40%,20.80%,23.00%,41.70%
19025,21.20%,11.70%,21.30%,15.30%,30.40%
19027,15.30%,11.00%,24.10%,13.90%,35.80%
19029,34.10%,7.00%,12.40%,23.80%,22.70%
19031,2.60%,9.60%,14.20%,35.50%,38.10%
19033,6.10%,36.50%,14.60%,21.30%,21.50%
19035,18.30%,10.50%,22.10%,18.20%,30.90%
19037,7.50%,13.60%,19.70%,23.60%,35.60%
19039,7.80%,16.70%,14.30%,19.40%,41.80%
19041,22.40%,3.50%,11.20%,18.90%,44.10%
19043,12.30%,8.40%,13.70%,28.40%,37.10%
19045,9.20%,13.00%,7.90%,26.90%,43.00%
19047,8.90%,4.50%,14.10%,6.40%,66.00%
19049,3.60%,10.20%,11.80%,26.00%,48.50%
19051,3.80%,10.10%,24.90%,20.10%,41.10%
19053,24.80%,13.20%,25.80%,6.80%,29.40%
19055,3.50%,13.70%,13.70%,40.80%,28.30%
19057,13.50%,8.10%,10.90%,12.20%,55.30%
19059,27.60%,2.70%,9.10%,17.30%,43.30%
19061,3.70%,15.50%,18.90%,18.90%,43.00%
19063,24.10%,8.30%,6.70%,18.10%,42.80%
19065,5.40%,7.50%,12.80%,34.90%,39.40%
19067,6.30%,27.10%,14.80%,25.00%,26.80%
19069,8.80%,27.80%,18.70%,18.60%,26.10%
19071,4.80%,6.10%,7.10%,20.90%,61.10%
19073,11.60%,14.10%,23.50%,15.30%,35.40%
19075,3.80%,4.20%,20.30%,23.80%,48.00%
19077,16.20%,7.30%,14.30%,28.30%,34.00%
19079,14.30%,11.80%,12.90%,15.30%,45.70%
19081,8.00%,38.40%,14.60%,17.40%,21.60%
19083,7.40%,7.50%,19.50%,21.40%,44.10%
19085,11.80%,4.40%,9.40%,17.80%,56.50%
19087,12.30%,14.20%,9.10%,18.30%,46.10%
19089,7.70%,15.10%,17.60%,18.30%,41.30%
19091,24.30%,26.80%,14.70%,10.20%,24.00%
19093,15.30%,9.40%,24.60%,12.80%,38.00%
19095,2.70%,14.90%,13.50%,23.90%,45.00%
19097,3.20%,9.60%,22.90%,23.20%,41.10%
19099,10.20%,10.50%,23.30%,21.20%,34.70%
19101,7.40%,11.60%,22.10%,19.10%,39.80%
19103,1.40%,4.40%,6.90%,20.00%,67.30%
19105,4.00%,10.50%,16.50%,33.60%,35.50%
19107,3.50%,12.60%,28.70%,28.00%,27.20%
19109,13.50%,31.80%,10.10%,17.30%,27.20%
19111,17.00%,14.60%,13.10%,16.10%,39.20%
19113,3.90%,8.10%,11.50%,20.10%,56.30%
19115,9.70%,5.80%,15.00%,21.40%,48.20%
19117,3.20%,20.40%,19.60%,18.50%,38.40%
19119,7.80%,17.30%,15.70%,24.70%,34.40%
19121,1.00%,10.20%,13.60%,26.80%,48.40%
19123,6.90%,6.70%,29.40%,28.30%,28.70%
19125,5.30%,4.90%,20.90%,26.00%,42.90%
19127,7.70%,6.40%,15.30%,22.60%,48.00%
19129,6.40%,8.40%,9.10%,28.10%,48.10%
19131,4.60%,28.20%,14.90%,26.00%,26.30%
19133,7.80%,6.90%,8.70%,12.70%,64.00%
19135,3.40%,7.80%,25.60%,24.70%,38.50%
19137,21.80%,3.40%,8.40%,37.80%,28.60%
19139,12.00%,2.20%,22.10%,27.30%,36.40%
19141,17.30%,5.40%,26.70%,18.70%,31.90%
19143,19.50%,5.10%,23.30%,19.90%,32.20%
19145,8.80%,5.30%,6.80%,31.00%,48.10%
19147,19.90%,11.60%,8.80%,17.90%,41.90%
19149,12.50%,14.50%,16.60%,16.20%,40.20%
19151,21.40%,12.40%,16.20%,16.50%,33.50%
19153,4.40%,8.90%,13.60%,25.90%,47.30%
19155,11.50%,8.30%,14.70%,26.40%,39.00%
19157,12.10%,14.50%,18.70%,16.40%,38.30%
19159,14.40%,13.80%,28.10%,16.20%,27.50%
19161,18.00%,7.10%,28.60%,15.90%,30.30%
19163,7.50%,2.70%,12.60%,27.70%,49.40%
19165,9.90%,5.90%,18.20%,14.50%,51.60%
19167,12.00%,6.00%,28.50%,20.00%,33.50%
19169,4.50%,7.50%,7.10%,23.50%,57.40%
19171,6.60%,5.30%,20.90%,18.10%,49.10%
19173,9.00%,15.10%,18.50%,28.20%,29.20%
19175,3.00%,12.50%,17.20%,21.00%,46.20%
19177,10.70%,12.80%,17.50%,21.80%,37.20%
19179,3.40%,8.20%,29.30%,22.10%,37.00%
19181,5.50%,18.20%,18.10%,24.50%,33.70%
19183,3.50%,10.20%,12.30%,15.10%,58.90%
19185,13.80%,14.80%,25.20%,12.00%,34.20%
19187,20.90%,16.70%,16.10%,10.10%,36.20%
19189,7.00%,32.90%,17.60%,19.70%,22.80%
19191,12.20%,4.40%,15.10%,17.70%,50.50%
19193,11.30%,16.50%,13.70%,16.00%,42.50%
19195,7.20%,27.10%,17.50%,23.10%,25.10%
19197,17.20%,29.90%,17.30%,12.50%,23.20%
20001,15.30%,21.20%,12.60%,16.70%,34.10%
20003,18.90%,6.30%,13.70%,26.70%,34.40%
20005,13.70%,12.20%,16.90%,25.60%,31.60%
20007,6.90%,14.70%,11.80%,32.90%,33.60%
20009,10.70%,13.10%,12.00%,21.10%,43.00%
20011,16.70%,14.60%,7.70%,12.00%,49.00%
20013,8.90%,14.90%,18.30%,19.70%,38.20%
20015,5.30%,13.30%,12.20%,22.20%,47.00%
20017,15.10%,8.20%,21.20%,22.50%,33.10%
20019,12.80%,13.70%,18.50%,21.40%,33.70%
20021,13.10%,12.10%,16.40%,17.40%,41.00%
20023,6.50%,27.00%,17.40%,23.50%,25.60%
20025,16.30%,13.00%,12.60%,23.20%,34.80%
20027,8.10%,6.90%,11.50%,22.90%,50.70%
20029,15.40%,7.70%,11.80%,21.70%,43.40%
20031,8.50%,11.90%,16.50%,40.40%,22.70%
20033,11.20%,14.40%,12.80%,27.10%,34.60%
20035,7.50%,9.30%,28.00%,13.10%,42.10%
20037,10.80%,14.30%,11.80%,13.90%,49.20%
20039,16.30%,11.80%,21.10%,23.50%,27.30%
20041,10.60%,11.80%,14.80%,24.30%,38.50%
20043,13.70%,19.30%,18.40%,21.40%,27.20%
20045,0.60%,0.90%,2.40%,22.70%,73.40%
20047,5.20%,8.60%,13.50%,22.10%,50.60%
20049,6.10%,5.00%,29.50%,28.20%,31.20%
20051,15.40%,15.40%,22.40%,14.80%,32.00%
20053,17.40%,13.30%,13.30%,18.70%,37.30%
20055,16.60%,8.90%,16.30%,23.90%,34.30%
20057,14.30%,8.40%,14.30%,23.20%,39.90%
20059,6.30%,6.00%,15.90%,35.40%,36.40%
20061,5.00%,6.80%,11.30%,27.00%,49.90%
20063,24.00%,8.90%,23.40%,15.10%,28.70%
20065,21.80%,15.60%,24.70%,12.90%,25.00%
20067,14.00%,10.80%,15.00%,23.10%,37.00%
20069,15.80%,9.20%,14.60%,24.00%,36.40%
20071,13.50%,13.10%,18.10%,22.90%,32.30%
20073,3.40%,7.90%,25.60%,30.20%,33.00%
20075,13.10%,9.50%,18.90%,21.70%,36.80%
20077,7.90%,11.80%,21.00%,19.30%,40.00%
20079,7.50%,5.80%,12.10%,32.30%,42.30%
20081,15.30%,10.70%,13.70%,23.90%,36.40%
20083,12.60%,7.50%,16.30%,22.50%,41.20%
20085,1.00%,11.60%,16.10%,13.60%,57.70%
20087,2.60%,6.90%,9.00%,18.20%,63.40%
20089,17.10%,14.20%,8.70%,25.90%,34.00%
20091,2.90%,1.90%,7.50%,22.40%,65.40%
20093,15.50%,9.80%,17.20%,22.90%,34.60%
20095,8.10%,21.20%,11.40%,12.80%,46.40%
20097,6.20%,10.70%,12.80%,23.30%,46.90%
20099,16.80%,12.30%,9.10%,14.70%,47.10%
20101,19.70%,7.50%,19.70%,20.40%,32.60%
20103,8.70%,13.50%,9.20%,14.20%,54.40%
20105,17.10%,13.20%,16.00%,16.30%,37.50%
20107,14.00%,5.30%,12.10%,28.50%,40.00%
20109,20.60%,13.10%,19.40%,18.90%,28.00%
20111,11.30%,11.10%,13.30%,30.00%,34.40%
20113,12.00%,6.50%,10.60%,31.30%,39.60%
20115,10.10%,6.80%,20.90%,27.90%,34.30%
20117,4.80%,4.90%,23.30%,26.30%,40.70%
20119,16.40%,12.30%,11.50%,23.50%,36.20%
20121,7.10%,4.40%,9.50%,25.00%,54.00%
20123,17.30%,11.60%,14.40%,18.00%,38.80%
20125,16.40%,13.20%,10.20%,19.50%,40.70%
20127,11.00%,9.40%,14.80%,24.40%,40.40%
20129,12.00%,11.30%,14.40%,21.80%,40.50%
20131,3.50%,9.40%,20.30%,23.60%,43.20%
20133,13.30%,20.40%,12.00%,12.70%,41.60%
20135,15.00%,8.30%,19.90%,19.80%,37.10%
20137,16.10%,16.30%,17.70%,22.50%,27.50%
20139,1.80%,9.00%,8.80%,24.00%,56.40%
20141,17.40%,23.30%,16.30%,13.60%,29.30%
20143,13.10%,11.70%,16.40%,19.10%,39.60%
20145,5.30%,9.60%,13.70%,21.70%,49.70%
20147,15.00%,24.40%,12.60%,19.00%,29.00%
20149,1.20%,5.70%,14.50%,23.60%,55.00%
20151,2.00%,18.30%,10.10%,30.90%,38.70%
20153,12.80%,17.40%,20.90%,22.00%,26.80%
20155,13.50%,7.70%,14.30%,19.10%,45.40%
20157,18.30%,7.30%,7.60%,29.50%,37.30%
20159,15.30%,8.60%,11.00%,24.10%,41.00%
20161,3.00%,5.00%,12.40%,26.10%,53.50%
20163,17.90%,22.00%,21.80%,12.30%,26.00%
20165,11.00%,12.20%,18.20%,18.30%,40.30%
20167,16.00%,17.40%,17.40%,15.70%,33.50%
20169,12.60%,13.30%,17.50%,20.90%,35.70%
20171,19.70%,9.00%,19.00%,21.00%,31.30%
20173,6.00%,5.50%,12.60%,26.00%,49.90%
20175,13.80%,14.00%,9.20%,22.60%,40.30%
20177,0.90%,7.80%,9.50%,18.40%,63.30%
20179,23.10%,11.20%,23.60%,15.40%,26.70%
20181,10.00%,27.00%,15.90%,24.00%,23.10%
20183,14.20%,25.70%,8.80%,19.50%,31.90%
20185,4.10%,12.50%,10.90%,25.20%,47.20%
20187,12.70%,9.80%,17.20%,21.60%,38.80%
20189,12.20%,13.20%,11.20%,22.50%,40.80%
20191,10.40%,3.90%,11.50%,29.80%,44.40%
20193,18.80%,15.70%,20.80%,18.40%,26.30%
20195,20.30%,11.50%,25.60%,13.70%,29.10%
20197,1.10%,7.70%,12.00%,20.10%,59.10%
20199,12.80%,21.00%,15.40%,24.60%,26.20%
20201,14.80%,7.50%,11.10%,23.40%,43.20%
20203,17.30%,11.20%,18.40%,21.90%,31.30%
20205,12.50%,14.80%,14.50%,18.40%,39.80%
